unique_id,id,gt_dust_ratio,total_averaged_dust_conf,total_thresholded_dust_ratio,masked_avg_dust_conf,masked_dust_ratio
616dc26069b981ddf92a307e,616dc26069b981ddf92a307e,"tensor(0., device='cuda:0')",0.4224,0.0147705078125,,
638950d62e943bec355ff301,638950d62e943bec355ff301,"tensor(0., device='cuda:0')",0.424,0.010009765625,,
6361168e86fcaabce95e663c,6361168e86fcaabce95e663c,"tensor(0., device='cuda:0')",0.4253,0.0123291015625,,
63a27bdbcbea581aac048412,63a27bdbcbea581aac048412,"tensor(0., device='cuda:0')",0.4253,0.00634765625,,
5f615886fe8915f92e719aec,5f615886fe8915f92e719aec,"tensor(0., device='cuda:0')",0.423,0.0125732421875,,
5f8d846cb3dadf66ec7e8139,5f8d846cb3dadf66ec7e8139,"tensor(0., device='cuda:0')",0.4163,0.0079345703125,,
63895073b87932ff73fd7373,63895073b87932ff73fd7373,"tensor(0., device='cuda:0')",0.426,0.0057373046875,,
638e88b57595a6cae9ff7c36,638e88b57595a6cae9ff7c36,"tensor(0., device='cuda:0')",0.4219,0.013671875,,
5fe3b3630cff35ad92c675e4,5fe3b3630cff35ad92c675e4,"tensor(0., device='cuda:0')",0.4258,0.0067138671875,,
61459cd69c6a3e17cd9c4c8a,61459cd69c6a3e17cd9c4c8a,"tensor(0., device='cuda:0')",0.4211,0.0155029296875,,
618fb49b87a6034879370add,618fb49b87a6034879370add,"tensor(0., device='cuda:0')",0.4219,0.0128173828125,,
5df920ba80a73f861bc1262b,5df920ba80a73f861bc1262b,"tensor(0., device='cuda:0')",0.424,0.0130615234375,,
5df920ba80a73f861bc11daf,5df920ba80a73f861bc11daf,"tensor(0., device='cuda:0')",0.4236,0.01318359375,,
63a358c67ac94c51108060f2,63a358c67ac94c51108060f2,"tensor(0., device='cuda:0')",0.4172,0.0103759765625,,
5f597cab2f9a7af826176622,5f597cab2f9a7af826176622,"tensor(0., device='cuda:0')",0.422,0.0137939453125,,
5df923b980a73f861bcd1e0c,5df923b980a73f861bcd1e0c,"tensor(0., device='cuda:0')",0.4229,0.013916015625,,
6389e438e181ab5935d54f87,6389e438e181ab5935d54f87,"tensor(0., device='cuda:0')",0.4211,0.01513671875,,
5f90dd385156bce4760545a1,5f90dd385156bce4760545a1,"tensor(0., device='cuda:0')",0.426,0.015380859375,,
629f9e7b2327ccbcf937f519,629f9e7b2327ccbcf937f519,"tensor(0., device='cuda:0')",0.4172,0.0120849609375,,
6359eba98d32ed711aa1b24d,6359eba98d32ed711aa1b24d,"tensor(0., device='cuda:0')",0.4246,0.0108642578125,,
61eabe8788463c4971711256,61eabe8788463c4971711256,"tensor(0., device='cuda:0')",0.421,0.0150146484375,,
63a2552246086c2150b356a0,63a2552246086c2150b356a0,"tensor(0., device='cuda:0')",0.4238,0.00927734375,,
634e0bf04e8ce37e7329bb99,634e0bf04e8ce37e7329bb99,"tensor(0., device='cuda:0')",0.4211,0.0155029296875,,
5f7ce5d08a522e448f8a8472,5f7ce5d08a522e448f8a8472,"tensor(0., device='cuda:0')",0.4258,0.0006103515625,,
627e6f39802d6ebd20a7e8ee,627e6f39802d6ebd20a7e8ee,"tensor(0., device='cuda:0')",0.4265,0.0155029296875,,
627e51ce9dec746ad8a12629,627e51ce9dec746ad8a12629,"tensor(0., device='cuda:0')",0.4263,0.0184326171875,,
627f7c8c7a9b2291f95b5e9e,627f7c8c7a9b2291f95b5e9e,"tensor(0., device='cuda:0')",0.4219,0.0155029296875,,
63c750e10269c97e4b167db3,63c750e10269c97e4b167db3,"tensor(0., device='cuda:0')",0.4214,0.0130615234375,,
6398007345ddf17c18eb6378,6398007345ddf17c18eb6378,"tensor(0.1699, device='cuda:0')",0.418,0.01123046875,,
63c76053617a919b37701dc4,63c76053617a919b37701dc4,"tensor(0.5219, device='cuda:0')",0.4255,0.0155029296875,,
5f6ede329fac7f2b8ab6d8ca,5f6ede329fac7f2b8ab6d8ca,"tensor(0., device='cuda:0')",0.4253,0.0081787109375,,
618f2c2a2590b760a9a633da,618f2c2a2590b760a9a633da,"tensor(0., device='cuda:0')",0.4207,0.0147705078125,,
5f597be33b446159044f1e07,5f597be33b446159044f1e07,"tensor(0., device='cuda:0')",0.424,0.0155029296875,,
5fdc0788156682fc52f1b502,5fdc0788156682fc52f1b502,"tensor(0., device='cuda:0')",0.422,0.0091552734375,,
63a2801077518fe3a0cf2fb9,63a2801077518fe3a0cf2fb9,"tensor(0., device='cuda:0')",0.4263,0.0146484375,,
61c223c668a1d5ad4147119c,61c223c668a1d5ad4147119c,"tensor(0., device='cuda:0')",0.4214,0.01513671875,,
5f81eda00b7aaf6e66c1ffaa,5f81eda00b7aaf6e66c1ffaa,"tensor(0., device='cuda:0')",0.4224,0.008544921875,,
618b19e81d730ee478d6f164,618b19e81d730ee478d6f164,"tensor(0., device='cuda:0')",0.4177,0.014892578125,,
6390316fce49575f406eb51e,6390316fce49575f406eb51e,"tensor(0., device='cuda:0')",0.4187,0.011962890625,,
628391e06365b7f06ba4cc67,628391e06365b7f06ba4cc67,"tensor(0., device='cuda:0')",0.4287,0.013916015625,,
5f6a755b9b1c0272d297a4f1,5f6a755b9b1c0272d297a4f1,"tensor(0., device='cuda:0')",0.4265,0.0155029296875,,
5df9a3d038979dfaa45cb4eb,5df9a3d038979dfaa45cb4eb,"tensor(0., device='cuda:0')",0.4229,0.012451171875,,
5f90816525d7d13ca84f13ba,5f90816525d7d13ca84f13ba,"tensor(0., device='cuda:0')",0.4272,0.017578125,,
6347590f307d2f00f6965f5a,6347590f307d2f00f6965f5a,"tensor(0., device='cuda:0')",0.4138,0.005615234375,,
5fb741282e60bf5dc1ef35de,5fb741282e60bf5dc1ef35de,"tensor(0., device='cuda:0')",0.4314,0.017578125,,
5f6175bafe8915f92e71daaa,5f6175bafe8915f92e71daaa,"tensor(0., device='cuda:0')",0.426,0.0128173828125,,
5df925b680a73f861bdc0e62,5df925b680a73f861bdc0e62,"tensor(0., device='cuda:0')",0.4243,0.01318359375,,
63cfb73006640649b4807ecb,63cfb73006640649b4807ecb,"tensor(0., device='cuda:0')",0.4207,0.01171875,,
6285a9319e1ed1417fc33a59,6285a9319e1ed1417fc33a59,"tensor(0., device='cuda:0')",0.4224,0.0096435546875,,
6360f67f13d156061db682e0,6360f67f13d156061db682e0,"tensor(0., device='cuda:0')",0.4204,0.015380859375,,
5e20d65e475a5c6f9aa1b70c,5e20d65e475a5c6f9aa1b70c,"tensor(0., device='cuda:0')",0.4265,0.014892578125,,
611acc6b360757dd85853b4c,611acc6b360757dd85853b4c,"tensor(0., device='cuda:0')",0.4211,0.013427734375,,
6169b86d641cd2b3e1ae75aa,6169b86d641cd2b3e1ae75aa,"tensor(0., device='cuda:0')",0.4194,0.010009765625,,
606368994b11093395b44cde,606368994b11093395b44cde,"tensor(0., device='cuda:0')",0.4321,0.0162353515625,,
62845f7304f5895b7f255ba7,62845f7304f5895b7f255ba7,"tensor(0., device='cuda:0')",0.417,0.012939453125,,
6336f11bd0555b5786b8659a,6336f11bd0555b5786b8659a,"tensor(0., device='cuda:0')",0.427,0.0146484375,,
628599fb752a1999eee7c145,628599fb752a1999eee7c145,"tensor(0., device='cuda:0')",0.4197,0.01513671875,,
62e9fdde9f702b7b8d9a3120,62e9fdde9f702b7b8d9a3120,"tensor(0., device='cuda:0')",0.4211,0.0152587890625,,
5f94d8eaa9c913966b98f41e,5f94d8eaa9c913966b98f41e,"tensor(0., device='cuda:0')",0.4336,0.0174560546875,,
635ac106393cd3d01cb3fd32,635ac106393cd3d01cb3fd32,"tensor(0., device='cuda:0')",0.4287,0.01416015625,,
